duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:05:12,100,0.4257886752486229,nan,1.0,119.1,1.0
0:26:51,200,0.7290035888552666,nan,801.0,1000.0,801.0
0:45:41,300,0.8847208845615387,nan,801.0,1000.0,801.0
0:50:15,400,0.5690570870041847,nan,1.0,137.1,1.0
0:55:58,500,0.5261970907449722,nan,1.0,147.4,1.0
1:01:11,600,0.5259215357899666,nan,1.0,144.5,1.0
1:06:05,700,0.5307263758778572,nan,1.0,140.1,1.0
1:11:28,800,0.5207755509018898,nan,1.0,148.6,1.0
1:18:09,900,0.5507286006212234,nan,1.0,140.2,1.0
1:26:00,1000,0.5248217871785164,nan,1.0,142.2,1.0
1:31:13,1100,0.5238190880417823,1.7958236837387085,1.0,148.0,1.0
1:36:25,1200,0.5265051659941673,1.702156629562378,1.0,146.4,1.0
1:41:34,1300,0.5242458683252335,1.7022982358932495,1.0,146.3,1.0
1:46:32,1400,0.532746933400631,1.707393515110016,1.0,144.0,1.0
1:51:02,1500,0.5367789909243583,1.7086255848407745,1.0,141.3,1.0
1:55:31,1600,0.5282485437393188,1.702688093185425,1.0,145.1,1.0
1:59:53,1700,0.533358924984932,1.6997283792495728,1.0,144.6,1.0
2:05:31,1800,0.5287113708257675,1.7042197740077973,1.0,149.5,1.0
2:11:12,1900,0.5350115609169006,1.7043901550769807,1.0,146.9,1.0
2:16:38,2000,0.5278255742788315,1.6924016749858857,1.0,148.1,1.0
2:22:39,2100,0.5355441972613335,1.6946087956428528,1.0,146.8,1.0
2:27:32,2200,0.5355719059705735,1.6905495536327362,1.0,150.3,1.0
2:32:16,2300,0.5312549051642418,1.6847860658168792,1.0,144.9,1.0
2:37:20,2400,0.5297444275021553,1.6712390530109404,1.0,144.0,1.0
2:42:37,2500,0.5262243804335595,1.6668632376194,1.0,141.9,1.0
2:47:15,2600,0.5309556913375855,1.6730831909179686,1.0,143.0,1.0
2:52:14,2700,0.5222629037499428,1.6649539470672607,1.0,142.4,1.0
2:57:20,2800,0.533073079586029,1.668223649263382,1.0,148.3,1.0
3:02:43,2900,0.5301284864544868,1.6673337888717652,1.0,147.3,1.0
3:07:41,3000,0.5298547783493995,1.6649297714233398,1.0,145.7,1.0
